"package","ondiskversion","source"
"arrow","22.0.0.1","CRAN (R 4.3.2)"
"biomaRt","2.58.2","Bioconductor 3.18 (R 4.3.2)"
"data.table","1.18.0","CRAN (R 4.3.2)"
"DDoutlier","0.1.0","CRAN (R 4.3.2)"
"DESeq2","1.42.1","Bioconductor 3.18 (R 4.3.2)"
"edgeR","4.0.16","Bioconductor 3.18 (R 4.3.2)"
"igraph","2.2.1","CRAN (R 4.3.2)"
"KEGGREST","1.42.0","Bioconductor"
"OmnipathR","3.13.14","Github (saezlab/OmnipathR@e94340fd406fc5567cb4e5133caf9022ec100d06)"
"openxlsx","4.2.8.1","CRAN (R 4.3.2)"
"optparse","1.7.5","CRAN (R 4.3.2)"
"org.Hs.eg.db","3.18.0","Bioconductor"
"parallel","4.3.2","local"
"reticulate","1.44.1","CRAN (R 4.3.2)"
"SummarizedExperiment","1.32.0","Bioconductor"
"TCGAbiolinks","2.30.4","Bioconductor 3.18 (R 4.3.2)"
"tidyverse","2.0.0","CRAN (R 4.3.2)"
"unixtools","0.1-1","local"
"UpSetR","1.4.0","CRAN (R 4.3.2)"
